Syscalls are not invoked using the SVC-instruction. Rather, it uses an undefined
instruction: 0xE7F0XXF0 where XX is the syscall number.

There are 0x93 syscalls on older firm, and 0x88 syscalls on latest firm.

+--------+--------+-------+-------------------------------------+-----------
| 5.3    | 5.5    | Args  | Name                                | Notes
+--------+--------+-------+-------------------------------------+-----------
|      0 |      0 |   4+2 | CreateThread                        |
|      1 |      1 |     2 | JoinThread?                         |
|      2 |      2 |     2 | DestroyThread?                      |
|      3 |      3 |     0 | GetCurrentThreadId                  |
|      4 |      4 |     0 | <Get something..?>                  |
|      5 |      5 |     0 | GetCurrentProcessId                 |
|      6 |      6 |     2 | GetProcessName                      |
|      7 |      7 |     1 | StartThread                         |
|      8 |      8 |     1 | StopThread?                         |
|      9 |      9 |     1 | YieldThread                         |
|      A |      A |     1 | GetThreadPriority                   |
|      B |      B |     2 | SetThreadPriority                   |
|      C |      C |     2 | CreateMessageQueue                  |
|      D |      D |     1 | DestroyMessageQueue                 |
|      E |      E |     3 | SendMessage                         | .. (int msgqueue_id, u32  msg, bool noblock)
|      F |      F |     3 | JamMessage                          | .. (int msgqueue_id, u32  msg, bool noblock)
|     10 |     10 |     3 | ReceiveMessage                      | .. (int msgqueue_id, u32* msg, bool noblock)
|     11 |     11 |     3 | RegisterEventHandler                | .. (int irq_id, int msgqueue_id, int flags?)
|     12 |     12 |     1 | UnregisterEventHandler              | .. (int irq_id)
|     13 |     13 |     4 | CreateTimer                         |
|     14 |     14 |     3 | RestartTimer                        |
|     15 |     15 |     1 | StopTimer                           |
|     16 |     16 |     1 | DestroyTimer                        |
|     17 |     17 |     0 | <Time related..>                    |
|     18 |     18 |     0 | TimeNow                             |
|     19 |     19 |     1 | GetUpTimeStruct                     |
|     1A |     1A |     1 | GetUpTime64                         |
|     1B |     1B |     1 | SetRtcCounter                       |
|     1C |     1C |     1 | GetAbsTimeCalendar                  |
|     1D |     1D |     1 | GetAbsTime64                        |
|     1E |     1E |     1 | GetAbsTimeStruct                    |
|     1F |     1F |     2 | SetProcessDebugFlag                 |
|     20 |     20 |     0 | CheckOtpBlk20Flag                   | Reads from OTP blkid 0x20.
|     21 |     21 |     0 | GetJtagStatus                       | Reads from OTP blkid 0xFF.
|     22 |     22 |     3 | ReadOtp                             | Only CRYPTO.
|     23 |     23 |     2 | CreateHeap                          | .. (void* base_addr, size_t size)
|     24 |     24 |     2 | CreateLocalProcessHeap              | .. (void* base_addr, size_t size)
|     25 |     25 |     1 | CreateCrossProcessHeap              | .. (size_t size)
|     26 |     26 |     1 | DestroyHeap                         |
|     27 |     27 |     2 | Alloc                               |
|     28 |     28 |     3 | AllocAlign                          |
|     29 |     29 |     2 | Free                                |
|     2A |     2A |     2 | FreeAndClear                        | Same as Free(), except does a memset to 0x00.
|     2B |     2B |     3 | Realloc                             | .. (int heap_id, void* ptr, size_t new_size)
|     2C |     2C |     2 | CreateDevice                        |
|     2D |     2D |     2 | SetDeviceFeatureId                  | .. (const char* path, int feature_id)
|     2E |     2E |     2 | SetDeviceMaxIoctlvVecs              | .. (const char* path, int max_vecs)
|     2F |     2F |     3 | SetFeatureMask                      | Only MCP.. (int pid, int feature_id, u64* mask)
|     30 |     30 |     0 | ClearFeatureMask                    |
|     31 |     31 |     3 | GetFeatureMask                      | .. (int pid, int feature_id, u64* out)
|     32 |     32 |     3 | QueryFeature                        |
|     33 |     33 |     2 | Open                                |
|     34 |     34 |     1 | Close                               |
|     35 |     35 |     3 | Read                                |
|     36 |     36 |     3 | Write                               |
|     37 |     37 |     4 | Seek                                |
|     38 |     38 |   4+2 | Ioctl                               |
|     39 |     39 |   4+1 | Ioctlv                              |
|     3A |     3A |     4 | OpenAsync                           |
|     3B |     3B |     3 | CloseAsync                          |
|     3C |     3C |   4+1 | ReadAsync                           |
|     3D |     3D |   4+1 | WriteAsync                          |
|     3E |     3E |   4+1 | SeekAsync                           |
|     3F |     3F |   4+4 | IoctlAsync                          |
|     40 |     40 |   4+3 | IoctlvAsync                         |
|     41 |     41 |   4+2 | OpenAsAsync                         | Only MCP.
|     42 |     42 |   4+3 | WriteAsAsync                        | Only MCP.
|     43 |     43 |     3 | Resume                              | Only MCP and ACP. This sends an IOS_RESUME to an device.
|     44 |     44 |     3 | Suspend                             | Only MCP and ACP. This sends an IOS_SUSPEND to an device.
|     45 |     45 |   4+1 | SvcMsg                              | Only MCP. This sends an IOS_SVCMSG to an device.
|     46 |     46 |   4+1 | ResumeAsync                         | Only MCP and ACP.
|     47 |     47 |   4+1 | SuspendAsync                        | Only MCP and ACP.
|     48 |     48 |   4+3 | SvcMsgAsync                         | Only MCP.
|     49 |     49 |     2 | ResourceReply                       |
|     4A |     4A |     4 | SetProcessFeatureFlags              | Only MCP.
|     4B |     4B |     3 | GetProcessFeatureFlags              | Only MCP.
|     4C |     4C |     1 | <Irq related..?>                    |
|     4D |     4D |     1 | <Irq related..?>                    |
|     4E |     4E |     1 | <Irq related..?>                    |
|     4F |     4F |     1 | <Irq related..?>                    |
|     50 |     50 |     1 | EnableIrqEvent?                     |
|     51 |     -- |     0 | Stubbed, returns zero.              | Removed in 5.5.0
|     52 |     -- |     2 | <IOB related..>                     | Removed in 5.5.0.
|     53 |     -- |     1 | <IOB related..>                     | Removed in 5.5.0.
|     54 |     -- |     0 | Stubbed                             | Removed in 5.5.0.
|     55 |     -- |     0 | Stubbed                             | Removed in 5.5.0.
|     56 |     -- |     2 | <IOB related..>                     | Removed in 5.5.0.
|     57 |     -- |     2 | <IOB related..>                     | Removed in 5.5.0.
|     58 |     -- |     2 | <IOB related..>                     | Removed in 5.5.0.
|     59 |     -- |     1 | ValidateIobAddress                  | Removed in 5.5.0.
|     5A |     -- |     1 | <IOB related..>                     | Removed in 5.5.0.
|     5B |     51 |     2 | InvalidateDCache                    |
|     5C |     52 |     2 | FlushDCache                         |
|     5D |     53 |     1 | CallFunctionBaremetal               | Only MCP. Kills PPC, disables MMU, memprot, clears mem, then jumps to function given in some struct* r0.
|     5E |     54 |     2 | GetKernelVersionA?                  |
|     5F |     55 |     2 | GetKernelVersionB?                  |
|     60 |     56 |     1 | ConvertVirtToPhys                   |
|     61 |     57 |     2 | CreateMutex                         |
|     62 |     58 |     2 | AcquireMutex                        |
|     63 |     59 |     1 | ReleaseMutex/SignalSemaphore        |
|     64 |     5A |     1 | DestroyMutex                        |
|     65 |     5B |     0 | <Ipc related..?>                    |
|     66 |     5C |     0 | ContinueStartup                     | Only BSP.
|     67 |     5D |     3 | ??                                  |
|     68 |     5E |     2 | ValidatePowerPCRange                |
|     69 |     5F |     0 | FillMem1WithInfiniteLoopPpcInsns    | Writes "b 0" instructions to first 2 pages of MEM1. Only MCP.
|     6A |     60 |     0 | GetCpuUtilization                   |
|     6B |     61 |     2 | GetThreadStackUsage                 | Only debug-mode. This one counts the number of 0xF5A5A5A5 words on thread stack.
|     6C |     62 |     2 | StartProfile                        |
|     6D |     63 |     1 | <Profiling related..>               | Only debug-mode.
|     6E |     64 |     2 | ??                                  |
|     6F |     65 |     2 | GetThreadStats                      | Only debug-mode.
|     70 |     -- |     2 | <IOB related..>                     | Removed in 5.5.0.
|     71 |     -- |     2 | <IOB related..>                     | Removed in 5.5.0.
|     72 |     66 |     1 | GetMsgqueueStats                    |
|     73 |     67 |     2 | GetResourceAggregateUtilizationStats|
|     74 |     68 |     3 | GetProcessResourceAllocationStats   |
|     75 |     69 |     1 | GetTimerStats?                      |
|     76 |     6A |     1 | GetMutexStats?                      |
|     77 |     6B |     2 | GetHeapStats                        |
|     78 |     6C |     1 |                                     | Hw pokes.
|     79 |     6D |     1 | WriteSinglePpcInsnToMem1            | Writes u32 to MEM1 + 0xC. Only MCP.
|     7A |     6E |     0 | UpdateDebuggerReg                   |
|     7B |     6F |     0 | ZeroDebuggerReg                     |
|     7C |     70 |     1 | WriteDebuggerReg                    | Only MCP.
|     7D |     71 |     2 | IsDebuggerAttached                  |
|     7E |     72 |     1 | ???                                 | Interesting!!!
|     7F |     73 |     2 | Panic                               |
|     80 |     74 |     0 | ??                                  | Only MCP.
|     81 |     75 |     1 | SetPanicConfigA                     | Only MCP.
|     82 |     76 |     1 | SetPanicConfigB                     | Only MCP. 
|     83 |     77 |     2 | ??                                  | Only MCP. This one is used to map kernel memory into FG?
|     84 |     78 |   4+1 | SetPpcMEM2ProtectionRanges          | Only MCP.
|     85 |     79 |     1 | SetSystemMode                       | Only MCP.
